Movie Title,Director,Main Actor,Genre
Joker,Todd Phillips,Joaquin Phoenix,Drama
Parasite,Bong Joon-ho,Song Kang-ho,Drama
Gravity,Alfonso Cuarón,Sandra Bullock,Science Fiction
Whiplash,Damien Chazelle,Miles Teller,Drama
The Imitation Game,Morten Tyldum,Benedict Cumberbatch,Drama
Her,Spike Jonze,Joaquin Phoenix,Drama
Boyhood,Richard Linklater,Ellar Coltrane,Drama
The Theory of Everything,James Marsh,Eddie Redmayne,Drama
Moonlight,Barry Jenkins,Mahershala Ali,Drama
Manchester by the Sea,Kenneth Lonergan,Casey Affleck,Drama
Black Swan,Darren Aronofsky,Natalie Portman,Drama
The Wolfman,Juan Antonio Bayona,Luis Tosar,Drama
Drive,Nicolas Winding Refn,Ryan Gosling,Drama
Mad Max: Fury Road,George Miller,Tom Hardy,Action
Spotlight,Tom McCarthy,Mark Ruffalo,Drama
The Greatest Showman,Michael Gracey,Hugh Jackman,Musical
A Single Man,Tom Ford,Colin Firth,Drama
127 Hours,Danny Boyle,James Franco,Adventure
Cast Away,Robert Zemeckis,Tom Hanks,Adventure
The King's Speech,Tom Hooper,Colin Firth,Drama
Captain Phillips,Paul Greengrass,Tom Hanks,Drama
The Grand Budapest Hotel,Wes Anderson,Ralph Fiennes,Comedy
Bohemian Rhapsody,Bryan Singer,Rami Malek,Drama
Carol,Todd Haynes,Cate Blanchett,Drama
The Danish Girl,Tom Hooper,Eddie Redmayne,Drama
Mystic River,Clint Eastwood,Sean Penn,Drama
The Revenant,Alejandro González Iñárritu,Leonardo DiCaprio,Adventure
La La Land,Damien Chazelle,Ryan Gosling,Musical
Interstellar,Christopher Nolan,Matthew McConaughey,Science Fiction
Birdman,Alejandro González Iñárritu,Michael Keaton,Drama
Foxcatcher,Bennett Miller,Steve Carell,Drama
The Wolf of Wall Street,Martin Scorsese,Leonardo DiCaprio,Drama
The Social Network,David Fincher,Jesse Eisenberg,Drama
The Favourite,Yorgos Lanthimos,Olivia Colman,Drama
Black Swan,Darren Aronofsky,Natalie Portman,Drama
Into the Wild,Sean Penn,Emile Hirsch,Adventure
The Big Short,Adam McKay,Christian Bale,Drama
Edward Scissorhands,Tim Burton,Johnny Depp,Fantasy
The Artist,Michel Hazanavicius,Jean Dujardin,Drama
Gandhi,Richard Attenborough,Ben Kingsley,Drama
The Intouchables,Olivier Nakache,Philippe Pozzo di Borgo,Comedy
Schindler's List,Steven Spielberg,Liam Neeson,Drama
The Pianist,Roman Polanski,Adrien Brody,Drama
Brokeback Mountain,Ang Lee,Jake Gyllenhaal,Drama
The Lion King,Jon Favreau,Donald Glover,Animation
The Big Lebowski,Joel Coen,Jeff Bridges,Comedy
Lost in Translation,Sofia Coppola,Bill Murray,Drama
Dunkirk,Christopher Nolan,Fionn Whitehead,War
A Monster Calls,J.A. Bayona,Lewis MacDougall,Drama
Pan's Labyrinth,Guillermo del Toro,Ivana Baquero,Fantasy
Dead Poets Society,Peter Weir,Robin Williams,Drama
A Quiet Place,John Krasinski,Emily Blunt,Horror

